what,kind,bundleId,bundleVersion,description,time
java.vm.specification.version,sysinfo,,,"1.0",1345191290078
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1345191290078
java.vm.version,sysinfo,,,"19.0-b09",1345191290078
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1345191293781
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1345191295937
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1345191367125
opened,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1345191371218
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1345191371250
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1345191372250
opened,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.PropertySheet",1345191374203
activated,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.PropertySheet",1345191374218
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1345191375250
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1345191377234
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1345191484781
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1345191486250
started,bundle,org.eclipse.ui.views.properties.tabbed,3.5.100.I20100509-0800,"org.eclipse.ui.views.properties.tabbed",1345191486250
started,bundle,com.altera.sbtgui.core,12.0.0.232,"com.altera.sbtgui.core",1345191486421
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1345191486484
started,bundle,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui",1345191486968
started,bundle,org.eclipse.cdt.debug.core,7.0.0.201009141542,"org.eclipse.cdt.debug.core",1345191487000
started,bundle,org.eclipse.cdt.debug.ui,7.0.0.201009141542,"org.eclipse.cdt.debug.ui",1345191487000
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.1.0.201009141542,"org.eclipse.cdt.dsf.gdb.ui",1345191488890
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1345191488921
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1345191492187
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1345191499703
activated,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.PropertySheet",1345191502718
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1345191503703
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1345191511078
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1345191511343
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1345191526953
activated,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.PropertySheet",1345191532453
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1345191533515
opened,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.TaskList",1345191534031
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.TaskList",1345191534046
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1345191535453
