what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1345192129609
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1345192129609
started,bundle,com.altera.sbtgui.integration,12.0.0.232,"com.altera.sbtgui.integration",1345192129609
started,bundle,com.altera.sbtgui.launch,12.0.0.232,"com.altera.sbtgui.launch",1345192129609
started,bundle,com.altera.sbtgui.project,12.0.0.232,"com.altera.sbtgui.project",1345192129609
started,bundle,com.altera.systemconsole,12.0.0.232,"com.altera.systemconsole",1345192129609
started,bundle,com.altera.systemconsole.designs.plugin,12.0.0.232,"com.altera.systemconsole.designs.plugin",1345192129625
started,bundle,com.altera.systemconsole.scripting,12.0.0.232,"com.altera.systemconsole.scripting",1345192129625
started,bundle,com.altera.utilities,12.0.0.232,"com.altera.utilities",1345192129625
os,sysinfo,,,"win32",1345192129625
arch,sysinfo,,,"x86",1345192129625
ws,sysinfo,,,"win32",1345192129625
locale,sysinfo,,,"zh_CN",1345192129625
processors,sysinfo,,,"2",1345192129625
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1345192129625
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1345192129625
java.specification.name,sysinfo,,,"Java Platform API Specification",1345192129625
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1345192129625
java.specification.version,sysinfo,,,"1.6",1345192129625
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1345192129625
java.version,sysinfo,,,"1.6.0_23",1345192129625
java.vm.info,sysinfo,,,"mixed mode",1345192129625
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1345192129625
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1345192129625
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1345192129625
java.vm.specification.version,sysinfo,,,"1.0",1345192129625
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1345192129625
java.vm.version,sysinfo,,,"19.0-b09",1345192129625
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1345192130671
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1345192132953
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1345192165125
started,bundle,com.altera.sbtgui.core,12.0.0.232,"com.altera.sbtgui.core",1345192166421
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1345192166703
started,bundle,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui",1345192167203
started,bundle,org.eclipse.cdt.debug.core,7.0.0.201009141542,"org.eclipse.cdt.debug.core",1345192167234
started,bundle,org.eclipse.cdt.debug.ui,7.0.0.201009141542,"org.eclipse.cdt.debug.ui",1345192167250
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1345192168484
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1345192170937
